alg.,sada,$n$,průměr,$\pm \sigma$,minimum,medián,maximum
"bb","NK","4","**105**.44 ms","**1**.97 ms","**102**.93 ms","**105**.25 ms","**114** ms"
"bb","NK","10","**135**.15 ms","**152**.8 ms","**104**.43 ms","**106**.18 ms","**914**.77 ms"
"bb","NK","15","**417**.3 ms","**21**.12 ms","**392**.17 ms","**412**.25 ms","**444**.91 ms"
"bb","ZKC","4","**279**.56 ms","**43**.77 ms","**204**.02 ms","**286**.31 ms","**330**.25 ms"
"bb","ZKC","10","**159**.99 ms","**18**.11 ms","**137**.3 ms","**156**.24 ms","**204**.39 ms"
"bb","ZKC","15","**253** ms","**20**.33 ms","**224**.67 ms","**251**.1 ms","**278**.59 ms"
"bb","ZKW","4","**106**.4 ms","**1**.68 ms","**104**.63 ms","**105**.76 ms","**110**.07 ms"
"bb","ZKW","10","**108**.32 ms","**19**.01 ms","**103**.06 ms","**104**.65 ms","**203**.3 ms"
"bb","ZKW","15","**105**.92 ms","**2**.82 ms","**103**.54 ms","**105**.46 ms","**119**.21 ms"
"dp","NK","4","**110**.85 ms","**0**.78 ms","**109**.67 ms","**110**.76 ms","**112**.33 ms"
"dp","NK","10","**148**.49 ms","**1**.15 ms","**146**.88 ms","**148**.27 ms","**151**.56 ms"
"dp","NK","15","**291**.14 ms","**102**.94 ms","**212**.76 ms","**220**.62 ms","**493**.79 ms"
"dp","ZKC","4","**126**.31 ms","**13**.5 ms","**112**.06 ms","**120**.44 ms","**148**.09 ms"
"dp","ZKC","10","**164**.98 ms","**1**.8 ms","**162**.76 ms","**164**.72 ms","**169**.85 ms"
"dp","ZKC","15","**245**.11 ms","**0**.74 ms","**243**.51 ms","**245**.28 ms","**246**.27 ms"
"dp","ZKW","4","**113**.92 ms","**2**.81 ms","**111**.95 ms","**113**.29 ms","**127**.38 ms"
"dp","ZKW","10","**111**.08 ms","**1**.24 ms","**109**.23 ms","**110**.92 ms","**114**.19 ms"
"dp","ZKW","15","**108**.95 ms","**2**.56 ms","**106**.29 ms","**108**.36 ms","**120**.33 ms"
"greedy","NK","4","**104**.78 ms","**0**.8 ms","**103**.07 ms","**104**.82 ms","**106**.82 ms"
"greedy","NK","10","**105**.39 ms","**0**.97 ms","**103**.76 ms","**105**.37 ms","**107**.57 ms"
"greedy","NK","15","**209**.2 ms","**108**.76 ms","**104**.86 ms","**164**.25 ms","**354**.05 ms"
"greedy","ZKC","4","**222**.95 ms","**88**.06 ms","**135**.23 ms","**187**.12 ms","**348**.14 ms"
"greedy","ZKC","10","**279**.88 ms","**58**.7 ms","**182**.58 ms","**289**.96 ms","**343**.44 ms"
"greedy","ZKC","15","**155**.8 ms","**18**.16 ms","**126**.85 ms","**154**.08 ms","**198**.53 ms"
"greedy","ZKW","4","**114**.21 ms","**7**.77 ms","**105**.68 ms","**112**.13 ms","**130**.9 ms"
"greedy","ZKW","10","**105**.19 ms","**1**.35 ms","**103**.16 ms","**105**.14 ms","**107**.75 ms"
"greedy","ZKW","15","**104**.02 ms","**0**.81 ms","**102**.52 ms","**103**.89 ms","**105**.65 ms"
"redux","NK","4","**104**.74 ms","**1**.09 ms","**103**.37 ms","**104**.36 ms","**107**.55 ms"
"redux","NK","10","**105**.67 ms","**1**.1 ms","**103**.96 ms","**105**.4 ms","**107**.91 ms"
"redux","NK","15","**105**.57 ms","**0**.79 ms","**104**.44 ms","**105**.57 ms","**107**.56 ms"
"redux","ZKC","4","**104**.96 ms","**2**.3 ms","**102**.87 ms","**104**.44 ms","**114**.77 ms"
"redux","ZKC","10","**105**.37 ms","**1**.31 ms","**103**.52 ms","**105**.15 ms","**108**.43 ms"
"redux","ZKC","15","**105**.8 ms","**1**.17 ms","**104**.15 ms","**105**.7 ms","**108**.6 ms"
"redux","ZKW","4","**106**.28 ms","**0**.81 ms","**105**.06 ms","**106**.05 ms","**107**.86 ms"
"redux","ZKW","10","**105**.76 ms","**0**.61 ms","**104**.77 ms","**105**.67 ms","**106**.87 ms"
"redux","ZKW","15","**104**.81 ms","**1**.51 ms","**102**.63 ms","**104**.66 ms","**108**.83 ms"
